Id,DatasetID,IndividualID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,Habitat,LabField,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Location,LocationType,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1Size,Interactor1SizeUnit,Interactor1SizeType,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
104894,579,PHXX1,longevity,individual-level duration of life stage,10.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.42,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104895,579,PHXX2,longevity,individual-level duration of life stage,9.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.36,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104896,579,PHXX3,longevity,individual-level duration of life stage,7.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.28,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104897,579,PHXX4,longevity,individual-level duration of life stage,11.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.36,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104898,579,PHXX5,longevity,individual-level duration of life stage,10.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.33,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104899,579,PHXX6,longevity,individual-level duration of life stage,6.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.2,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104900,579,PHXX7,longevity,individual-level duration of life stage,6.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.21,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104901,579,PHXX8,longevity,individual-level duration of life stage,5.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.18,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104902,579,PHXX9,longevity,individual-level duration of life stage,8.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.36,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
104903,579,PHXX10,longevity,individual-level duration of life stage,9.0,days,terrestrial,laboratory,resource concentration,quantity of resource made available during life stage,55.0,mg ml-1,Fort Myers Florida,field,decimal,26.616667,-81.833333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,22.0,Celsius,26.0,Celsius,0.42,mg,dry mass,supplementary material,Huxley et al. 2022. Competition and resource depletion shape the thermal response of population fitness in Aedes aegypti. Commun. Biol. 5: 66.,10.1038/s42003-022-03030-7,Paul Huxley,phuxly@gmail.com,Interactor1Temp,SecondStressorValue,2022-01-01
